question_id,topic,stem,correct_option,predicted_option,explanation,reference_explanation,raw_model_output,timestamp
Q01,AI,stem,B,B,"AI stands for Artificial Intelligence, which refers to the simulation of human intelligence in machines.",AI is abbreviated as Artificial Intelligence. It is used to create systems or build machines to think and work like humans.,"Answer: B) Artificial Intelligence
Explanation: AI stands for Artificial Intelligence, which refers to the simulation of human intelligence in machines.",2025-08-02T03:45:36.842508
Q02,AI,stem,C,C,"Artificial Intelligence focuses on creating machines that can perform tasks that typically require human intelligence, like learning and problem-solving.",Artificial Intelligence is the development of intelligent systems that work and react in the same way that humans do.,"Answer: C) Artificial Intelligence is a field that aims to develop intelligent machines
Explanation: Artificial Intelligence focuses on creating machines that can perform tasks that typically require human intelligence, like learning and problem-solving.",2025-08-02T03:45:39.057724
Q03,AI,stem,C,C,"John McCarthy is credited with coining the term ""Artificial Intelligence"" and is considered one of its founders.","John McCarthy was a pioneer in Artificial Intelligence research, helping to name the field and spending decades teaching computers to grasp concepts that are intuitive to humans.","Answer: C) John McCarthy
Explanation: John McCarthy is credited with coining the term ""Artificial Intelligence"" and is considered one of its founders.",2025-08-02T03:45:40.228119
Q04,AI,stem,A,A,Machine Learning is a branch of Artificial Intelligence that focuses on enabling computers to learn from data.,"Machine learning is one of the important sub-areas of Artificial Intelligence likewise Neural Networks, Computer Vision, Robotics, and NLP are also the sub-areas.","Answer: A) Machine Learning
Explanation: Machine Learning is a branch of Artificial Intelligence that focuses on enabling computers to learn from data.",2025-08-02T03:45:42.128923
Q05,AI,stem,C,D,The main goal of Artificial Intelligence is to develop systems that can perform tasks and solve problems that typically require human intelligence in real-world scenarios.,Artificial Intelligence’s goal is to explain various sorts of intelligence.,"Answer: D) To solve real-world problems
Explanation: The main goal of Artificial Intelligence is to develop systems that can perform tasks and solve problems that typically require human intelligence in real-world scenarios.",2025-08-02T03:45:43.108553
Q06,Algorithms,stem,B,B,An algorithm is a specific sequence of steps designed to solve a problem or perform a task.,"Algorithm is a step-by-step procedure, which defines a set of instructions to be executed in a certain order to get the desired output.","Answer: B) Algorithm
Explanation: An algorithm is a specific sequence of steps designed to solve a problem or perform a task.",2025-08-02T03:46:04.008993
Q07,Algorithms,stem,D,D,"An algorithm must be clear, unambiguous, and must terminate after a finite number of steps to be effective.",All of the above are Characteristics of an Algorithm.,"Answer: D) All of the above
Explanation: An algorithm must be clear, unambiguous, and must terminate after a finite number of steps to be effective.",2025-08-02T03:46:05.484012
Q08,Algorithms,stem,A,A,"An algorithm must have a clear set of steps and be effective, while not all procedures meet these criteria.","True, Not all procedures can be called an algorithm.","Answer: A) TRUE  
Explanation: An algorithm must have a clear set of steps and be effective, while not all procedures meet these criteria.",2025-08-02T03:46:07.246027
Q09,Algorithms,stem,B,B,"Priori analysis evaluates an algorithm's performance based on its design before running it, focusing on theoretical aspects.",A Priori Analysis is a theoretical analysis of an algorithm.,"Answer: B) Priori Analysis
Explanation: Priori analysis evaluates an algorithm's performance based on its design before running it, focusing on theoretical aspects.",2025-08-02T03:46:08.032279
Q10,Algorithms,stem,C,C,Time complexity is determined by counting key operations like comparisons in an algorithm.,Time is measured by counting the number of key operations such as comparisons in the sorting algorithm.,"Answer: C) Time
Explanation: Time complexity is determined by counting key operations like comparisons in an algorithm.",2025-08-02T03:46:28.894934
Q11,Algorithms,stem,A,A,The complexity of an algorithm indeed describes how its running time or space requirements grow as the input size n increases.,The complexity of an algorithm f(n) gives the running time and/or the storage space required by the algorithm in terms of n as the size of input data.,"Answer: A) Yes
Explanation: The complexity of an algorithm indeed describes how its running time or space requirements grow as the input size n increases.",2025-08-02T03:46:30.048184
